Region,Rainfall,Temperature,Soil_Moisture,Soil_pH,Nitrogen,Phosphorus,Potassium,Irrigation,Crop_Area,Fertilizer,Pesticide,Sunlight,Humidity,Altitude,Wind_Speed,Groundwater,Crop_Diversity,Mechanization,Yield_Variance,Avg_Yield,Date
Himachal Pradesh,1201.5694237768673,,53.67956349156896,6.5,56.54341920123207,33.55404415351307,32.136747832315834,46.247007334703284,1894.6130958315596,140,7,7,65.60904452984647,1200.4251001162684,6,10.257540671873727,0.75,0.7077645701937402,0.15471020340556174,3.2015503150628075,2023-04-01
Tamil Nadu,757.63876634042,29,41.67960605969518,7.0,71.68180157752843,29.473450816665988,33.8932362735765,89.23190696663774,985485.0718935019,200,12,9,64.41926633749974,215.61460122687757,9,11.260415490196566,0.7,0.6938363981347061,0.15656012299136993,3.7756944965172163,2023-04-01
Haryana,613.9938492116737,25,,7.5,75.85007995677404,41.58112122419301,39.76641415923894,95.47155405394368,3979.56003538517,210 USD,eleven,8.2,64.5700502886052,244.4346389315436,11,13.438723657595192,0.7,0.767333884086407,0.17454189857089059,4.735219623663259,2023/02/01
punjab,627.4891373198476,,44.29902109607488,seven.two,78.5414712160324,35.50376877076824,44.25884601144936,87.42473785933507,4355.548986776381,9999,12,8 hours,64.00932928969782,249.8158466743374,10,13.993816798461468,75%,0.8498212588637692,0.13940736085642752,4.42734529913145,01/01/23
Punjab,618.3822036856495,24,46.510075588157704,7.2,77.33397532736988,39.149462255909015,41.95629650274832,93.67976293863526,4284.875280255768,9999 INR,12,8h,60.01001856861426,257.7951738093166,10,14.355340932281262,0.75,0.8905242446610396,0.15142644440106168,4.290303728738728,2023-01-01
Gujarat,624.5262158949085,29,31.46472098562858,14.5,58.38797851687531,29.694508087348304,30.887612014300323,61.311069734920665,3515.9582412613718,150,8,9,50.825509109785514,198.98853794537519,13,20.16276673475968,0.58,0.6792038090439387,0.28381568643979793,2.894088590063733,2023-03-01
Bihar,1079.4081645839785,26,55.10720828472828,6.7,73.31384223359304,37.71796825083667,40.446290337712426,65.5396714961896,4880.538177609749,175,,7.8,64.62339098570254,121.969092780797,7,16.78230555501887,0.68,0.5874429510700112,0.25777876555478807,3.4181794559245926,2023/03/01
Andhra Pradesh,874.4771553422532,28,48.18481625123889,6.9,70.2921596931393,35.30505562435406,35.53204870930082,79.95040582796854,4210.847977421114,185,10,8.5,63.54848790824278,145.83595845230553,9,16.657955573246362,0.68,,0.20025579646167269,3.9546810953939513,01-Apr-2023
Himachal Pradesh,1133.2146641748814,,51.5450128977356,6.5,62.19038741339715,30.463470584460318,32.351671186432235,46.817225238781596,2153.401957083593,140,7,7,64.60695630694525,1195.362788483858,6,10.227495371317318,0.75,0.6784044602931207,0.14909241098854906,3.0969413397214,2023-04-01
Madhya Pradesh,825.6715541063315,27,47.09759361892282,6.9,,34.13218482903164,37.43970217462342,69.59229537403283,4747.6498291904345,170,9,8,60.99584538841087,336.56770867744706,10,16.986491518650112,0.62,0.6920165651389331,0.20826679083638608,3.652314676060859,01-03-23
Bihar,1069.4215022877013,26,57.18927096126824,6.7,73.67553761043038,35.33414977619937,39.732067218374674,71.01172006703263,5028.340004732904,175,,7.8,65.21420433544782,119.52317464175081,7,15.445902691353309,0.68,0.548225693436351,0.2491346400305516,3.6869976939235234,2023/03/01
Assam,2113.048514488539,25,64.26508419797281,5.5,86.17371883926698,45.71286502460155,47.40772224250774,,3325.123605880993,200,11,6,80.50072837580741,79.94313434700086,5,11.984969425472736,0.78,0.542405057274923,0.16869607713103105,3.667512301372694,2023-04-01
Himachal Pradesh,1138.1544459556044,,50.69701909523272,6.5,59.04161876795295,30.471104030597907,32.136596869639575,52.83443422339882,1971.267377340395,140,7,7,68.90083428707113,1154.7934218303371,6,9.769483345520108,0.75,0.6815804622802116,0.15160553786139316,3.1406753092626505,2023-04-01
Bihar,1093.5318995036146,26,52.9382735601366,6.7,69.98643561288853,38.82913069845581,36.16895250763756,76.69473755642886,5437.109884489755,175,,7.8,64.43987651087535,127.9316604427405,7,15.020276611420858,0.68,0.5777899335205604,0.25210829259925027,3.700304649071859,2023/03/01
Assam,1940.4204120762683,25,68.93636941635113,5.5,82.46253689548186,47.46152448975218,47.04762304853674,,3114.094326138262,200,11,6,90.23922683350828,79.26418119723681,5,12.354088480527627,0.78,0.5872141384460478,0.17795225565886263,3.789583256175314,2023-04-01
Odisha,1234.6701808858982,27,50.113109795529965,6.6,80.31628414786228,36.21400623492292,755.8502067419221,77.61547800312506,4559.061210076293,180,10,7.8,76.06269198383225,123.25768473849523,8,14.234508145898248,0.7,0.6097721466246976,0.20434987279901792,4.225450856251121,2023-04-01
Andhra Pradesh,815.3573893881678,28,45.208008394239044,6.9,77.30241470851877,33.87687235599161,38.27853870833701,72.78219026911924,3953.3053354022377,185,10,8.5,65.27369980534226,161.16138192862525,9,18.098809940533453,0.68,,0.18432595297882137,4.030231653402027,01-Apr-2023
West Bengal,1392.6281995954832,25,58.00611333760797,6.5,70.09209939121133,35.52584940554713,45.375985253619824,77.85812932966685,4425.789366474338,190,11,7.5,,100.36118668874211,6,13.484473176096026,0.72,0.6270152778269749,0.1785323332066558,4.151186901732256,03/01/2023
